,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,669,6.764074339976256,-0.008255800385571395,2.7872593274483313,0.1047338691743043,0.09647806887873091,1.0579393504617305,0.13340501487255096,0.9998768730805471,20000,22,0,29.889286994934082,0.0
1,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,698,9.098537033572716,-0.010907001489510713,2.715728028309651,0.11878411806642244,0.10787711645810841,1.2297460004305227,0.09175046533346176,1.0000169293238566,40000,45,1,57.2493691444397,0.0
2,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,683,11.851875091574941,-0.012907259882493423,2.64424613011189,0.21552765345057615,0.20262039424373934,1.3735035466078,0.10476286709308624,1.0026046318121447,60000,71,2,87.78398323059082,0.0
3,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,674,14.549980415118814,-0.006760278758622754,2.614071262494112,0.47649223053684603,0.46973195415563307,1.6551180116259134,0.130144402384758,1.0002387188183957,80000,111,3,118.61773157119751,0.0
4,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,662,17.515922084112695,-0.007634021308070097,2.574550915681399,0.8080379558297304,0.8004039376400984,1.95037780018189,0.13408002257347107,0.9998887605392016,100000,158,4,150.9512529373169,0.0
5,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,649,18.779329604390007,-0.006720005878462242,2.4842483807832765,1.1923417260249456,1.1856217195590337,2.7246448813340605,0.17590801417827606,0.9994385866782605,120000,221,5,184.82463669776917,0.0
6,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,641,19.55323435794272,-0.008746711214861045,2.432235854405623,1.6541275199407186,1.6453808086804855,4.128056288147584,0.44534263014793396,0.9992458455073527,140000,304,6,218.19146156311035,0.0
7,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,635,20.445131777736126,-0.0095488354533863,2.3609855202528145,2.471301684471277,2.461752845079471,7.162395364504594,0.421465128660202,0.9997363824874926,160000,414,7,251.68914818763733,0.0
8,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,635,29.352344905915675,-0.011093654084162644,2.245421168743036,3.019903359657679,3.0088097118414368,9.055109707514445,0.700186550617218,0.9994011871325664,180000,510,8,283.39072275161743,0.0
9,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,636,50.5148455785846,-0.011778709867025892,2.1503046833551847,4.0723450468136715,4.060566344933632,12.603828104948386,0.6901127099990845,0.999496024617782,200000,585,9,314.17642283439636,0.0
10,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,638,61.03850678867215,-0.007608701975550502,2.0499501645565035,6.399046684534122,6.3914379810675594,19.13732072359476,0.47362691164016724,0.9984617800284654,220000,674,10,344.42351055145264,0.0
11,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,641,86.89123506079997,-0.007156168963784018,1.941353223262689,8.853781090027248,8.84662488240462,32.284138120749056,1.3871958255767822,0.9991069622528859,240000,754,11,374.25439977645874,0.0
12,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,638,91.94381464386387,-0.007277615120013555,1.839743720109646,14.350338885723016,14.343061216060931,47.93106699601198,0.6979812383651733,0.999702402872917,260000,863,12,406.93333101272583,0.01
13,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,637,104.23048159636124,-0.005503130206563629,1.695917609716073,18.314600214591394,18.30909714331994,59.67627585728963,0.22801928222179413,1.0006566053017591,280000,971,13,438.97232580184937,0.0
14,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,636,95.88513373599922,-0.0034008992752299094,1.6187758039205502,20.240511436951465,20.237110510850563,70.7842380694854,0.03642125427722931,0.9994491669612053,300000,1092,14,471.6239449977875,0.0
15,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,633,115.82775878963089,-0.0029513163330893103,1.5554452986289293,19.149519046147663,19.14656771513132,92.4139855103615,0.5916965007781982,1.0004492864394798,320000,1213,15,505.1730978488922,0.0
16,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,631,103.05031388091577,-0.0030002821078643394,1.4449456425813527,25.577217038472494,25.57421662012736,98.13173426848192,0.358028382062912,0.9995319403899021,340000,1351,16,538.6052989959717,0.0
17,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,629,117.93858852041745,-0.002349105128982606,1.3748832143270053,25.4140313405257,25.411682260953462,112.79040148563874,-0.05395994707942009,1.0009954194227855,360000,1485,17,571.9456212520599,0.0
18,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,626,115.92491367535357,-0.0011534142603452963,1.2608082199708008,26.10540580015916,26.104252173350407,134.40309788141496,-0.12061630934476852,0.9996993146645717,380000,1629,18,606.0639548301697,0.0
19,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,625,108.94045064424435,0.0004008045276770225,1.194562908472159,26.658449638806857,26.65885050969246,126.53108051495674,1.2154085636138916,0.9991526707624778,400000,1781,19,639.8733172416687,0.0
20,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,623,103.68859906644008,-0.001390520840560874,1.1336854301966153,30.242597638643705,30.24120703477126,154.56202078599196,-0.6489142775535583,0.9993425473188743,420000,1942,20,673.8387615680695,0.0
21,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,620,101.37058546252028,-0.0018258035379963425,1.0961605526697942,29.686177410223547,29.684351745018592,145.5764707467495,0.4123396575450897,1.0003344571743256,440000,2105,21,708.5460226535797,0.0
22,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,619,107.4802509936349,0.00016866165843123617,0.9855175424844791,28.081574625846667,28.081743295376118,162.09293059324608,0.6064842939376831,1.0007214533212858,460000,2273,22,742.871527671814,0.0
23,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,617,104.30220719056557,0.0019958076449349904,0.9136430842754169,28.943425273895265,28.9454210012387,167.61941882891531,0.9981275200843811,1.0000531348662498,480000,2444,23,777.1672079563141,0.0
24,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,615,111.86340198707195,-0.0019213406697440988,0.8430963219740452,31.59724468329014,31.595323200714894,203.0760354653383,-1.060774564743042,1.0001716878933784,500000,2609,24,812.3429660797119,0.0
25,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,614,105.89939084479123,0.0005187263667511825,0.7820115366807351,28.61256667406131,28.613085335951585,183.54747730646378,-0.14158567786216736,0.9991750623171146,520000,2784,25,846.9004597663879,0.0
26,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,612,109.32489152366139,0.0030067548090114424,0.7443553902399845,28.788857046763102,28.79186379114787,213.76383647429637,0.22254091501235962,1.0005395478927173,540000,2959,26,881.1103231906891,0.0
27,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,611,114.53666705270903,0.0027620174447432733,0.7356222505752857,28.991994703733003,28.99475683432359,210.63725887689836,0.585036039352417,0.9997404893239339,560000,3135,27,916.1602237224579,0.0
28,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,609,116.38960342373925,0.000552290181020418,0.6882070116507701,29.143081481640156,29.143633881593363,236.50902522160456,-0.6274763345718384,0.9996546128621469,580000,3308,28,950.9986135959625,0.0
29,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,608,120.40155708528663,0.0007819597349645427,0.6653545692945138,27.44948233579978,27.450264324286046,213.05014176001916,1.0779739618301392,1.0007571120292713,600000,3477,29,985.5828456878662,0.0
30,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,607,120.9499532081633,0.005211060480453456,0.6422948290140201,31.46771784073267,31.47292890304174,218.85795974242382,0.7701543569564819,1.000678850672184,620000,3642,30,1020.5815930366516,0.0
31,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,606,116.14075120478961,-0.0015898140356278955,0.6407171570337735,31.517430483989227,31.515840650216127,268.1246175228021,0.08120556175708771,0.9992395806006896,640000,3816,31,1055.861222743988,0.0
32,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,604,115.38069331889157,6.752896289794873e-05,0.6063106670975685,29.976236837338178,29.976304499308267,257.32047882080076,-0.22615329921245575,0.9994830671029213,660000,3993,32,1090.9860138893127,0.0
33,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,604,105.63425714934853,-0.001135647785402118,0.6493527041031764,28.18650843057877,28.185372670491535,260.23185677650645,-1.4604122638702393,0.9998281279435525,680000,4170,33,1125.6083025932312,0.0
34,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,602,110.52656704390482,0.0008968016241665166,0.5206940178305675,31.37739149484879,31.37828831061339,264.2574671427409,0.6546900868415833,1.000329980865503,700000,4349,34,1161.0122017860413,0.0
35,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,601,116.98136089036028,-0.00013813237564112895,0.5103224513622431,31.53891937304766,31.538781393491305,266.02593140235314,0.30857065320014954,1.0000589817762375,720000,4527,35,1196.703916311264,0.0
36,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,600,129.0906424497797,0.0013252730314166118,0.47599377368505186,32.97290127338507,32.974226636153,299.40405125740244,0.14457084238529205,1.000885453973061,740000,4698,36,1232.072524547577,0.02
37,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,599,125.64416392180183,-0.00022212512200125135,0.40166105307065525,34.68579604564569,34.68557390066294,283.4164541489039,0.8767631649971008,0.9989181728699268,760000,4870,37,1266.9478261470795,0.0
38,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,600,118.87985095396445,-0.0008208286264935174,0.3945377603555337,33.046730449872136,33.04590973487267,307.6791560833271,-1.098695993423462,1.0009300438257365,780000,5051,38,1297.8711376190186,0.0
39,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,602,110.7110566491178,0.0009352938367579227,0.3537250869549238,35.32807160157424,35.329006828405916,299.53550663483446,-0.4777199327945709,0.9994939491534844,800000,5239,39,1326.8133630752563,0.0
40,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,605,122.73872479815468,1.5268641231486048e-05,0.41644493734989413,31.572925924643492,31.572941237229568,319.7592881520589,0.8219055533409119,1.0006717218038363,820000,5413,40,1355.2606325149536,0.0
41,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,606,113.82921794963107,-4.074223823128984e-05,0.5116927579809458,34.687616988940114,34.687576271937445,293.45829710349057,-0.4403877556324005,0.9998325721575664,840000,5583,41,1384.1097469329834,0.0
42,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,608,127.4939168042585,-0.00023184172086751996,0.501926759382089,36.00672954901671,36.00649763009487,299.48470663413025,0.18346981704235077,0.9996933233279448,860000,5755,42,1412.9486541748047,0.0
43,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,610,123.18272017971731,0.0008948065943490619,0.48874720755295875,34.409803791535204,34.41069857768523,330.4222815000094,0.08608602732419968,0.9998527181454194,880000,5928,43,1441.8668913841248,0.0
44,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,612,121.39217016874284,0.0010886428504585264,0.4775869387464646,37.5484181428567,37.549506798768654,308.9230793977395,0.2403307557106018,1.000258271740033,900000,6099,44,1470.0988483428955,0.0
45,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,613,109.2270659552568,-0.0005928925537050534,0.4715125636412547,36.12170864007412,36.121115669837366,339.8214157300118,0.36716604232788086,0.9984291820189892,920000,6278,45,1498.3940122127533,0.0
46,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,615,118.42002931424776,-0.0012636921359584308,0.4687157008892451,37.389071430304114,37.38780767000639,330.3230911254883,1.102400541305542,0.99998817497339,940000,6458,46,1527.511176109314,0.0
47,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,616,106.23773741257074,-0.00041922620640924346,0.36133585442335175,42.22533788925562,42.22491857822125,345.5588654738206,0.7660585045814514,1.0002453985886697,960000,6644,47,1557.1066896915436,0.0
48,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,618,114.40404464096656,0.0008535743986542981,0.38344257049835645,36.05309032537998,36.05394379297892,358.4251623496031,0.5971319079399109,1.0006023393227503,980000,6820,48,1585.6301114559174,0.0
49,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,619,111.62223606230108,-0.0020241711751366846,0.3193651468707965,35.89212055695363,35.890096503037675,378.5084714938433,-1.1058281660079956,1.0005992132119643,1000000,6998,49,1614.6773142814636,0.01
50,C:\Users\Colton\Documents\GitHub\cs260r-assignment-2025winter\assignment3\MetaDrive-Tut-Hard-v0\ppo,620,116.50864316107749,0.00023525795803811306,0.3329451934267313,33.74726690145639,33.74750243700468,372.4071523030599,-0.7048425674438477,0.9995921808939714,1020000,7175,50,1643.4479355812073,0.0
