#{"t_start": 1742333681.998014, "env_id": "None"}
r,l,t
3-21.237821,11383,257.966802
0.437709,298,263.49284
16.62316,641,277.888449
23.191445,535,289.115923
8.280031,251,295.7586867-0.57585,51,297.20763414659.829174,1047,320.045173
25.775642,393,328.301634
-2.350427,46,329.513666.228.846565,321,338.798639.624.655427,220,345.96561.6017.105125,187,351.550866
17.039331,154,355.05483
27.590772,290,362.854855
-3.770657,-0.728084,21,365.91118
23.474133.905478,59,398.1.669367,31,425.689283
11.761155,30,425.569689
14354
66
-11.67.01745,532,386.767232
13.371936,135,392.926892
3.520211,105,395.887167
2.374302,53,397.593806
13.531486,110,401.646148
2.261594,40,403.985638
6.992566,92,406.322464
27.932715,308,414.505681
-0.087918,57,416.505032
7.938672,125,419.958804
12.2304,351,427.07625
-2.073893,31,428.555233
0.705765,44,430.961701
-3.92347,13,432.090849
-3.723308,14,432.9779
-0.021913,29,434.493722
1.871232,44,436.254535
-3.057213,19,437.138092
3.36464,41,439.241374
19.998125,123,444.293568
6.191026,81,447.265028
0.45483,35,448.507694
-2.889877,56,449.724544

4.234203,49,441.08173
12.761373,66,443.312076
8.230859,81,446.434688
-1.213929,39,448.280278
2.772.919463,56,447.1753.117616,66,448.363882
-2.302165,167,451.766478
39
9586,19,445.251143
5.257508,78,448.039646
-2.83667,27,448.887629

1.580341,46,447.290527

-3.610256,3.073611,75,448.998077
72,51,449.049256
