#{"t_start": 1742338009.447641, "env_id": "None"}
r,l,t
799.084047,9319,191.060781
355.820592,2712,234.841236
2.154099,141,238.01839358.685925,1758,264.873415833.841631,558,278.955261
45.185886,646,296.340513
0.691873,80,298.069497
6.988254,114,300.892285
-0.023115,44,302.79370681.40698,572,304.901021
16.298298,143,309.89382222.841272,190,313.106363
31.600253,280,323.479353
16.92901,175,329.374616
37.544181,166,335.64411.060561,43,349.222410.320761,31,385.487224
-4.1-1.880766,54,407.476648
.343159,31,385.593719
-1.979801,39,407.602857
-4.224588,17,407.174297
04387
-2.996253,22,368.755596
7.870124,249,374.72898515.992554,85,377.206005
2.376239,43,379.052132
1.612747,42,381.052926
0.927953,34,383.221342
-1.188049,31,385.824859
-4.001437,16,387.082202
4.060033,322,397.657139
7.576684,195,401.436534
12.639492,587,413.908759
4.119762,10,386.984186
-0.172406,28,390.190515
2.856146,196,395.023247
1.168199,181,399.116585
-3.781769,29,399.689772
-1.984912,64,400.930804
10.620121,542,412.439275
-0.625865,492,422.823863
6124.42.845803,845,420.387576
414.077918
-0.691614,354,420.866857
-3.91942,38,422.208182
485053
-3.325921,279,422.177942
14,386.548347
0.424923,49,390.77434
30.824431,1443,421.201262
